Process ID, throughput time, total wait time, number of context switch, total CPU time, total IO time
13,713,609,6,76,28
2,796,655,8,99,42
16,1553,1244,16,170,139
3,2113,1705,23,252,156
12,2173,1791,23,222,160
15,2288,1905,27,226,157
11,3029,2446,38,404,179
7,4284,3216,63,546,522
19,4589,3512,68,594,483
5,4848,3554,75,644,650
18,5781,4112,99,906,763
17,5842,4142,102,831,869
10,5876,4156,98,813,907
4,6525,4479,125,1112,934
1,6637,4525,126,1003,1109
8,6648,4493,129,1099,1056
14,6804,4505,135,1180,1119
6,7022,4423,142,1273,1326
9,7096,4497,149,1292,1307
