Process ID, throughput time, total wait time, number of context switch, total CPU time, total IO time
13,433,320,15,85,28
2,538,385,20,111,42
16,993,664,36,190,139
12,1247,839,49,248,160
15,1333,923,54,253,157
3,1399,959,55,284,156
11,1884,1251,88,454,179
7,2619,1486,128,611,522
19,2783,1634,140,666,483
5,3014,1642,153,722,650
10,3574,1759,193,908,907
17,3574,1778,198,927,869
18,3603,1824,209,1016,763
1,4083,1854,243,1120,1109
4,4090,1912,257,1244,934
8,4129,1850,253,1223,1056
14,4409,1970,275,1320,1119
6,4634,1880,297,1428,1326
9,4668,1919,299,1442,1307
