Process ID, throughput time, total wait time, number of context switch, total CPU time, total IO time
13,257,144,15,85,28
2,315,162,20,111,42
16,596,267,36,190,139
12,757,349,49,248,160
15,764,354,54,253,157
3,835,395,55,284,156
11,1122,489,88,454,179
7,1613,480,128,611,522
19,1716,567,140,666,483
5,1931,559,153,722,650
17,2360,564,198,927,869
10,2389,574,193,908,907
18,2386,607,209,1016,763
1,2835,606,243,1120,1109
4,2835,657,257,1244,934
8,2908,629,253,1223,1056
14,3133,694,275,1320,1119
9,3425,676,299,1442,1307
6,3443,689,297,1428,1326
