Process ID, throughput time, total wait time, number of context switch, total CPU time, total IO time
14,204,112,10,52,40
5,1182,602,61,287,293
13,1311,715,73,362,234
6,1655,822,96,477,356
2,1639,814,89,425,400
8,1820,861,102,513,446
11,1966,867,125,594,505
1,2605,1040,185,891,674
10,2816,1115,200,960,741
7,3208,1095,247,1156,957
9,3394,1122,260,1216,1056
4,3525,1125,279,1287,1113
3,3563,1113,287,1347,1103
12,3779,1188,306,1462,1129
